Transaction_ID,Store_Region,Product_Category,Payment_Method,Customer_Type,Unit_Price,Items_Sold,Gross_Amount,Discount_Percent,Discount_Amount,Net_Sales_Amount,Average_Price_Per_Item,Effective_Discount_Per_Item
TXN1023,South,Apparel,Cash,New,483.95,2,967.9,10.11,97.85,870.05,435.02,48.93
TXN1024,West,Apparel,Cash,New,217.1,17,3690.7,23.41,863.99,2826.71,166.28,50.82
TXN1025,South,Furniture,Cash,Member,692.0,2,1384.0,25.19,348.63,1035.37,517.69,174.31
TXN1026,North,Electronics,Wallet,Guest,344.48,3,1033.44,13.64,140.96,892.48,297.49,46.99
TXN1027,West,Furniture,Credit Card,Returning,314.89,11,3463.79,8.85,306.55,3157.24,287.02,27.87
TXN1028,East,Apparel,Wallet,Guest,716.53,10,7165.3,12.48,894.23,6271.07,627.11,89.42
TXN1029,South,Apparel,UPI,New,797.08,16,12753.28,21.32,2719.0,10034.28,627.14,169.94
TXN1030,South,Grocery,Credit Card,Returning,339.57,15,5093.55,2.68,136.51,4957.04,330.47,9.1
TXN1031,North,Apparel,Wallet,Guest,940.53,1,940.53,13.56,127.54,812.99,812.99,127.54
TXN1032,North,Electronics,Wallet,Guest,498.65,7,3490.55,12.66,441.9,3048.65,435.52,63.13
TXN1033,East,Furniture,UPI,New,759.68,9,6837.12,0.81,55.38,6781.74,753.53,6.15
TXN1034,East,Grocery,Cash,Member,564.31,3,1692.93,22.07,373.63,1319.3,439.77,124.54
TXN1035,North,Furniture,UPI,New,847.74,10,8477.4,8.8,746.01,7731.39,773.14,74.6
TXN1036,East,Grocery,Wallet,Returning,488.43,6,2930.58,7.35,215.4,2715.18,452.53,35.9
TXN1037,North,Apparel,Credit Card,Member,700.8,9,6307.2,1.08,68.12,6239.08,693.23,7.57
TXN1038,North,Grocery,Cash,Guest,72.72,18,1308.96,7.66,100.27,1208.69,67.15,5.57
TXN1039,North,Grocery,Wallet,New,789.98,1,789.98,28.44,224.67,565.31,565.31,224.67
TXN1040,North,Furniture,UPI,New,209.55,3,628.65,5.89,37.03,591.62,197.21,12.34
TXN1041,West,Furniture,Cash,New,929.52,10,9295.2,18.2,1691.73,7603.47,760.35,169.17
TXN1042,South,Apparel,UPI,Guest,733.77,13,9539.01,6.31,601.91,8937.1,687.47,46.3
TXN1043,West,Grocery,Wallet,Returning,804.83,5,4024.15,10.15,408.45,3615.7,723.14,81.69
TXN1044,East,Grocery,Cash,Returning,309.34,6,1856.04,7.78,144.4,1711.64,285.27,24.07
TXN1045,West,Electronics,UPI,Member,975.18,17,16578.06,10.51,1742.35,14835.71,872.69,102.49
TXN1046,West,Furniture,Wallet,Returning,989.05,11,10879.55,24.29,2642.64,8236.91,748.81,240.24
TXN1047,East,Furniture,Wallet,Returning,860.54,16,13768.64,25.51,3512.38,10256.26,641.02,219.52
TXN1048,North,Furniture,Wallet,New,530.16,15,7952.4,24.14,1919.71,6032.69,402.18,127.98
TXN1049,South,Furniture,Credit Card,Guest,272.16,10,2721.6,25.45,692.65,2028.95,202.9,69.26
TXN1050,South,Grocery,Credit Card,New,554.98,5,2774.9,25.78,715.37,2059.53,411.91,143.07
TXN1051,North,Apparel,Wallet,Guest,971.78,15,14576.7,18.17,2648.59,11928.11,795.21,176.57
TXN1052,West,Furniture,Cash,Guest,497.97,4,1991.88,23.44,466.9,1524.98,381.25,116.72
TXN1053,East,Apparel,UPI,New,449.02,16,7184.32,22.04,1583.42,5600.9,350.06,98.96
TXN1054,South,Grocery,Credit Card,Member,684.58,3,2053.74,20.53,421.63,1632.11,544.04,140.54
TXN1055,South,Apparel,Wallet,Guest,951.53,5,4757.65,19.58,931.55,3826.1,765.22,186.31
TXN1056,North,Apparel,Cash,Guest,655.35,1,655.35,18.62,122.03,533.32,533.32,122.03
TXN1057,East,Furniture,UPI,Member,482.08,16,7713.28,1.42,109.53,7603.75,475.23,6.85
TXN1058,East,Grocery,UPI,Guest,692.16,14,9690.24,11.86,1149.26,8540.98,610.07,82.09
TXN1059,West,Grocery,UPI,Returning,176.94,3,530.82,12.5,66.35,464.47,154.82,22.12
TXN1060,North,Electronics,Cash,Member,344.23,11,3786.53,21.64,819.41,2967.12,269.74,74.49
TXN1061,West,Apparel,UPI,Returning,552.03,12,6624.36,23.77,1574.61,5049.75,420.81,131.22
TXN1062,West,Apparel,Wallet,New,373.14,9,3358.26,12.04,404.33,2953.93,328.21,44.93
TXN1063,North,Grocery,UPI,Returning,969.47,4,3877.88,15.34,594.87,3283.01,820.75,148.72
TXN1064,West,Furniture,Cash,Member,875.07,7,6125.49,0.28,17.15,6108.34,872.62,2.45
TXN1065,East,Grocery,Cash,Member,243.75,2,487.5,29.45,143.57,343.93,171.97,71.78
TXN1066,South,Electronics,UPI,Returning,75.03,5,375.15,10.93,41.0,334.15,66.83,8.2
TXN1067,East,Apparel,Credit Card,Returning,106.02,6,636.12,28.92,183.97,452.15,75.36,30.66
TXN1068,East,Electronics,Cash,Returning,139.04,5,695.2,2.53,17.59,677.61,135.52,3.52
TXN1069,West,Apparel,UPI,Guest,809.42,19,15378.98,21.84,3358.77,12020.21,632.64,176.78
TXN1070,South,Electronics,Wallet,Returning,898.84,10,8988.4,4.86,436.84,8551.56,855.16,43.68
TXN1071,West,Electronics,Credit Card,Guest,380.48,11,4185.28,16.38,685.55,3499.73,318.16,62.32
TXN1072,North,Grocery,Wallet,New,75.34,19,1431.46,10.8,154.6,1276.86,67.2,8.14
TXN1073,East,Apparel,UPI,Member,651.97,17,11083.49,15.68,1737.89,9345.6,549.74,102.23
TXN1074,North,Electronics,UPI,Guest,234.82,15,3522.3,17.41,613.23,2909.07,193.94,40.88
TXN1075,South,Furniture,Credit Card,Returning,134.48,10,1344.8,9.9,133.14,1211.66,121.17,13.31
TXN1076,West,Furniture,Cash,Guest,293.04,4,1172.16,24.03,281.67,890.49,222.62,70.42
TXN1077,North,Grocery,Cash,New,669.35,11,7362.85,17.98,1323.84,6039.01,549.0,120.35
TXN1078,South,Grocery,Cash,New,440.33,4,1761.32,21.82,384.32,1377.0,344.25,96.08
TXN1079,South,Furniture,Cash,New,792.77,11,8720.47,21.53,1877.52,6842.95,622.09,170.68
TXN1080,South,Furniture,UPI,Guest,626.06,4,2504.24,27.38,685.66,1818.58,454.64,171.42
TXN1081,South,Electronics,Credit Card,New,788.25,6,4729.5,22.91,1083.53,3645.97,607.66,180.59
TXN1082,West,Electronics,Wallet,Member,207.09,14,2899.26,0.83,24.06,2875.2,205.37,1.72
TXN1083,South,Electronics,Wallet,Guest,542.11,17,9215.87,12.74,1174.1,8041.77,473.05,69.06
TXN1084,East,Apparel,Cash,New,424.26,6,2545.56,15.15,385.65,2159.91,359.98,64.28
TXN1085,East,Furniture,Wallet,Returning,833.0,11,9163.0,20.53,1881.16,7281.84,661.99,171.01
TXN1086,South,Electronics,Credit Card,Guest,67.98,14,951.72,14.15,134.67,817.05,58.36,9.62
TXN1087,West,Electronics,Wallet,Guest,285.02,8,2280.16,5.18,118.11,2162.05,270.26,14.76
TXN1088,South,Electronics,UPI,New,893.58,15,13403.7,12.03,1612.47,11791.23,786.08,107.5
TXN1089,South,Apparel,Credit Card,Member,856.59,17,14562.03,12.3,1791.13,12770.9,751.23,105.36
TXN1090,South,Grocery,Credit Card,Guest,587.95,6,3527.7,9.6,338.66,3189.04,531.51,56.44
TXN1091,West,Apparel,UPI,Member,273.64,10,2736.4,1.75,47.89,2688.51,268.85,4.79
TXN1092,West,Apparel,Credit Card,Returning,289.78,19,5505.82,23.8,1310.39,4195.43,220.81,68.97
TXN1093,South,Apparel,UPI,Guest,949.62,3,2848.86,17.55,499.97,2348.89,782.96,166.66
TXN1094,North,Electronics,UPI,Member,576.8,13,7498.4,26.78,2008.07,5490.33,422.33,154.47
TXN1095,North,Apparel,Credit Card,Guest,344.98,14,4829.72,13.83,667.95,4161.77,297.27,47.71
TXN1096,East,Grocery,Cash,Guest,488.95,2,977.9,16.07,157.15,820.75,410.38,78.57
TXN1097,East,Furniture,Cash,Member,603.98,5,3019.9,22.55,680.99,2338.91,467.78,136.2
TXN1098,East,Grocery,Cash,Member,575.37,13,7479.81,0.54,40.39,7439.42,572.26,3.11
TXN1099,East,Apparel,Cash,Member,707.42,10,7074.2,5.24,370.69,6703.51,670.35,37.07
TXN1100,South,Electronics,Credit Card,Member,123.13,18,2216.34,16.71,370.35,1845.99,102.55,20.58
TXN1101,West,Apparel,Cash,Returning,321.14,11,3532.54,19.9,702.98,2829.56,257.23,63.91
TXN1102,South,Apparel,Wallet,Returning,368.71,17,6268.07,6.39,400.53,5867.54,345.15,23.56
TXN1103,North,Apparel,Credit Card,Guest,904.01,9,8136.09,11.72,953.55,7182.54,798.06,105.95
TXN1104,South,Grocery,Cash,Returning,939.0,13,12207.0,5.63,687.25,11519.75,886.13,52.87
TXN1105,West,Grocery,Credit Card,Returning,874.92,17,14873.64,29.76,4426.4,10447.24,614.54,260.38
TXN1106,West,Apparel,UPI,Member,950.3,11,10453.3,4.16,434.86,10018.44,910.77,39.53
TXN1107,West,Furniture,Cash,Returning,575.6,1,575.6,6.81,39.2,536.4,536.4,39.2
TXN1108,South,Grocery,Credit Card,Guest,765.6,16,12249.6,21.08,2582.22,9667.38,604.21,161.39
TXN1109,South,Grocery,UPI,Returning,266.5,4,1066.0,9.62,102.55,963.45,240.86,25.64
TXN1110,West,Grocery,Cash,New,280.73,3,842.19,10.02,84.39,757.8,252.6,28.13
TXN1111,West,Apparel,Credit Card,New,258.71,16,4139.36,21.25,879.61,3259.75,203.73,54.98
TXN1112,East,Furniture,UPI,Member,532.33,4,2129.32,24.79,527.86,1601.46,400.37,131.96
TXN1113,North,Grocery,UPI,Returning,62.18,13,808.34,27.95,225.93,582.41,44.8,17.38
TXN1114,West,Electronics,Wallet,Member,395.42,18,7117.56,21.35,1519.6,5597.96,311.0,84.42
TXN1115,South,Electronics,Cash,New,637.89,7,4465.23,19.75,881.88,3583.35,511.91,125.98
TXN1116,West,Apparel,Wallet,Member,318.61,11,3504.71,24.31,852.0,2652.71,241.16,77.45
TXN1117,West,Electronics,Wallet,Returning,195.9,4,783.6,12.97,101.63,681.97,170.49,25.41
TXN1118,West,Grocery,Wallet,Guest,816.14,17,13874.38,17.55,2434.95,11439.43,672.91,143.23
TXN1119,South,Electronics,Wallet,New,707.72,16,11323.52,4.35,492.57,10830.95,676.93,30.79
TXN1120,East,Grocery,Credit Card,New,54.87,8,438.96,11.55,50.7,388.26,48.53,6.34
TXN1121,West,Grocery,Wallet,Member,625.97,11,6885.67,24.8,1707.65,5178.02,470.73,155.24
TXN1122,North,Furniture,Credit Card,Guest,881.09,10,8810.9,7.98,703.11,8107.79,810.78,70.31
TXN1123,West,Electronics,Wallet,Returning,685.66,10,6856.6,10.31,706.92,6149.68,614.97,70.69
TXN1124,South,Grocery,Cash,Guest,200.77,19,3814.63,28.11,1072.29,2742.34,144.33,56.44
TXN1125,North,Electronics,UPI,Returning,947.02,6,5682.12,4.05,230.13,5451.99,908.67,38.35
TXN1126,South,Furniture,Credit Card,Member,765.53,18,13779.54,2.14,294.88,13484.66,749.15,16.38
TXN1127,East,Apparel,Wallet,Member,292.97,18,5273.46,6.82,359.65,4913.81,272.99,19.98
TXN1128,East,Furniture,Wallet,Returning,169.37,9,1524.33,5.77,87.95,1436.38,159.6,9.77
TXN1129,North,Furniture,UPI,Member,445.18,19,8458.42,10.97,927.89,7530.53,396.34,48.84
TXN1130,West,Electronics,UPI,Returning,269.81,1,269.81,4.91,13.25,256.56,256.56,13.25
TXN1131,East,Grocery,Credit Card,Guest,576.78,9,5191.02,20.1,1043.4,4147.62,460.85,115.93
TXN1132,West,Apparel,Cash,New,414.72,5,2073.6,2.72,56.4,2017.2,403.44,11.28
TXN1133,East,Furniture,Wallet,Guest,621.57,15,9323.55,19.53,1820.89,7502.66,500.18,121.39
TXN1134,North,Furniture,Cash,New,733.01,16,11728.16,23.51,2757.29,8970.87,560.68,172.33
TXN1135,North,Apparel,Cash,Returning,324.98,11,3574.78,8.58,306.72,3268.06,297.1,27.88
TXN1136,East,Apparel,Credit Card,Returning,508.32,11,5591.52,11.55,645.82,4945.7,449.61,58.71
TXN1137,East,Apparel,Wallet,New,565.3,10,5653.0,9.52,538.17,5114.83,511.48,53.82
TXN1138,East,Apparel,Credit Card,Member,78.21,10,782.1,3.84,30.03,752.07,75.21,3.0
TXN1139,West,Grocery,Cash,Guest,333.73,3,1001.19,10.49,105.02,896.17,298.72,35.01
TXN1140,North,Grocery,Cash,Returning,436.48,16,6983.68,13.56,946.99,6036.69,377.29,59.19
TXN1141,West,Grocery,Cash,New,139.52,13,1813.76,5.51,99.94,1713.82,131.83,7.69
TXN1142,North,Grocery,Credit Card,Guest,361.08,9,3249.72,6.43,208.96,3040.76,337.86,23.22
TXN1143,South,Grocery,UPI,Returning,142.21,10,1422.1,14.79,210.33,1211.77,121.18,21.03
TXN1144,West,Grocery,Credit Card,Returning,493.67,15,7405.05,19.52,1445.47,5959.58,397.31,96.36
TXN1145,West,Apparel,UPI,Member,90.55,1,90.55,14.63,13.25,77.3,77.3,13.25
TXN1146,North,Furniture,Credit Card,Member,776.1,6,4656.6,17.57,818.16,3838.44,639.74,136.36
TXN1147,West,Grocery,UPI,Guest,529.15,10,5291.5,3.39,179.38,5112.12,511.21,17.94
TXN1148,North,Electronics,Cash,Member,64.44,14,902.16,11.5,103.75,798.41,57.03,7.41
TXN1149,West,Furniture,Wallet,New,122.88,7,860.16,21.74,187.0,673.16,96.17,26.71
TXN1150,West,Apparel,Cash,Member,387.57,19,7363.83,17.99,1324.75,6039.08,317.85,69.72
TXN1151,North,Electronics,UPI,New,218.47,17,3713.99,28.85,1071.49,2642.5,155.44,63.03
TXN1152,North,Furniture,Wallet,New,765.62,6,4593.72,21.34,980.3,3613.42,602.24,163.38
TXN1153,East,Electronics,Credit Card,Returning,428.87,1,428.87,14.01,60.08,368.79,368.79,60.08
TXN1154,West,Apparel,UPI,Member,508.12,10,5081.2,4.73,240.34,4840.86,484.09,24.03
TXN1155,East,Furniture,Credit Card,Guest,727.98,16,11647.68,0.52,60.57,11587.11,724.19,3.79
TXN1156,South,Electronics,Credit Card,Returning,422.7,8,3381.6,16.92,572.17,2809.43,351.18,71.52
TXN1157,East,Grocery,UPI,Returning,922.99,18,16613.82,6.14,1020.09,15593.73,866.32,56.67
TXN1158,North,Furniture,UPI,Returning,111.43,18,2005.74,10.6,212.61,1793.13,99.62,11.81
TXN1159,North,Apparel,UPI,Returning,482.24,1,482.24,28.75,138.64,343.6,343.6,138.64
TXN1160,West,Electronics,Credit Card,Guest,462.44,2,924.88,13.5,124.86,800.02,400.01,62.43
TXN1161,South,Apparel,Wallet,Member,70.04,6,420.24,29.07,122.16,298.08,49.68,20.36
TXN1162,East,Electronics,Credit Card,New,937.38,5,4686.9,21.95,1028.77,3658.13,731.63,205.75
TXN1163,South,Grocery,Credit Card,Member,955.36,9,8598.24,22.63,1945.78,6652.46,739.16,216.2
TXN1164,South,Furniture,Cash,New,818.27,4,3273.08,26.92,881.11,2391.97,597.99,220.28
TXN1165,West,Grocery,Credit Card,Guest,526.5,4,2106.0,19.74,415.72,1690.28,422.57,103.93
TXN1166,West,Apparel,Cash,Returning,866.64,16,13866.24,1.55,214.93,13651.31,853.21,13.43
TXN1167,West,Electronics,UPI,Guest,567.43,2,1134.86,6.79,77.06,1057.8,528.9,38.53
TXN1168,North,Grocery,UPI,Member,726.13,9,6535.17,8.53,557.45,5977.72,664.19,61.94
TXN1169,South,Electronics,Wallet,New,588.78,2,1177.56,2.58,30.38,1147.18,573.59,15.19
TXN1170,North,Grocery,Credit Card,Returning,728.71,12,8744.52,8.83,772.14,7972.38,664.36,64.35
TXN1171,North,Grocery,UPI,Member,946.99,2,1893.98,1.86,35.23,1858.75,929.38,17.61
TXN1172,East,Electronics,Credit Card,Member,530.03,14,7420.42,21.1,1565.71,5854.71,418.19,111.84
TXN1173,East,Grocery,Credit Card,Member,269.65,11,2966.15,22.34,662.64,2303.51,209.41,60.24
TXN1174,North,Electronics,Credit Card,New,796.39,13,10353.07,1.1,113.88,10239.19,787.63,8.76
TXN1175,West,Grocery,Wallet,Member,788.12,2,1576.24,19.67,310.05,1266.19,633.1,155.02
TXN1176,North,Electronics,UPI,Member,846.65,11,9313.15,16.43,1530.15,7783.0,707.55,139.1
TXN1177,South,Furniture,UPI,Guest,121.44,18,2185.92,14.26,311.71,1874.21,104.12,17.32
TXN1178,East,Furniture,UPI,Returning,208.82,18,3758.76,25.69,965.63,2793.13,155.17,53.65
TXN1179,North,Electronics,Wallet,Guest,95.25,3,285.75,20.37,58.21,227.54,75.85,19.4
TXN1180,North,Electronics,Cash,Returning,85.1,6,510.6,28.97,147.92,362.68,60.45,24.65
TXN1181,North,Electronics,UPI,Member,784.31,13,10196.03,16.91,1724.15,8471.88,651.68,132.63
TXN1182,South,Apparel,Wallet,Returning,986.56,9,8879.04,26.94,2392.01,6487.03,720.78,265.78
TXN1183,South,Electronics,Credit Card,Member,506.45,18,9116.1,19.32,1761.23,7354.87,408.6,97.85
TXN1184,East,Apparel,UPI,Member,502.96,19,9556.24,1.57,150.03,9406.21,495.06,7.9
TXN1185,North,Apparel,Credit Card,Returning,454.71,2,909.42,17.64,160.42,749.0,374.5,80.21
TXN1186,North,Electronics,Cash,New,913.33,19,17353.27,7.75,1344.88,16008.39,842.55,70.78
TXN1187,West,Electronics,Wallet,Guest,56.8,6,340.8,2.49,8.49,332.31,55.39,1.41
TXN1188,South,Furniture,Cash,Guest,106.32,2,212.64,19.62,41.72,170.92,85.46,20.86
TXN1189,South,Grocery,Cash,Returning,271.31,19,5154.89,12.91,665.5,4489.39,236.28,35.03
TXN1190,South,Electronics,UPI,Member,583.8,3,1751.4,12.39,217.0,1534.4,511.47,72.33
TXN1191,South,Furniture,UPI,New,674.28,4,2697.12,12.24,330.13,2366.99,591.75,82.53
TXN1192,North,Apparel,Cash,Member,83.38,3,250.14,13.98,34.97,215.17,71.72,11.66
TXN1193,West,Apparel,UPI,New,581.39,7,4069.73,26.96,1097.2,2972.53,424.65,156.74
TXN1194,East,Apparel,Credit Card,Returning,566.92,8,4535.36,3.64,165.09,4370.27,546.28,20.64
TXN1195,West,Furniture,Cash,Guest,704.78,5,3523.9,24.82,874.63,2649.27,529.85,174.93
TXN1196,South,Furniture,Credit Card,New,623.89,1,623.89,26.27,163.9,459.99,459.99,163.9
TXN1197,South,Apparel,Credit Card,Returning,502.83,5,2514.15,24.93,626.78,1887.37,377.47,125.36
TXN1198,North,Apparel,Cash,Member,733.98,14,10275.72,10.58,1087.17,9188.55,656.32,77.66
TXN1199,South,Furniture,UPI,Returning,954.7,16,15275.2,11.5,1756.65,13518.55,844.91,109.79
